0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.25,0.275196078,0.300392157,0.325588235,0.350784314,0.375980392,0.383747277,0.391514161,0.399281046,0.40704793,0.414814815,0.415596533,0.416378251,0.417159968,0.417941686,0.418723404,0.41841732,0.418111236,0.417805151,0.417499067,0.417192982,0.417192982,0.417192982,0.417192982,0.417192982,0.417192982,0.417192982,0.417192982,0.417192982,0.417192982,0.417192982
0,0.001735294,0.003470588,0.005205882,0.006941176,0.008676471,0.012126362,0.015576253,0.019026144,0.022476035,0.025925926,0.0268684,0.027810875,0.028753349,0.029695823,0.030638298,0.031124673,0.031611049,0.032097424,0.0325838,0.033070175,0.033070175,0.033070175,0.033070175,0.033070175,0.033070175,0.033070175,0.033070175,0.033070175,0.033070175,0.033070175
0,0.001735294,0.003470588,0.005205882,0.006941176,0.008676471,0.012126362,0.015576253,0.019026144,0.022476035,0.025925926,0.0268684,0.027810875,0.028753349,0.029695823,0.030638298,0.031124673,0.031611049,0.032097424,0.0325838,0.033070175,0.033070175,0.033070175,0.033070175,0.033070175,0.033070175,0.033070175,0.033070175,0.033070175,0.033070175,0.033070175
0.75,0.721333333,0.692666667,0.664,0.635333333,0.606666667,0.592,0.577333333,0.562666667,0.548,0.533333333,0.530666667,0.528,0.525333333,0.522666667,0.52,0.519333333,0.518666667,0.518,0.517333333,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667
0.25,0.265941176,0.281882353,0.297823529,0.313764706,0.329705882,0.325986928,0.322267974,0.31854902,0.314830065,0.311111111,0.301995272,0.292879433,0.283763593,0.274647754,0.265531915,0.258215006,0.250898096,0.243581187,0.236264278,0.228947368,0.222842105,0.216736842,0.210631579,0.204526316,0.198421053,0.194350877,0.190280702,0.186210526,0.182140351,0.178070175
0,0.002313725,0.004627451,0.006941176,0.009254902,0.011568627,0.012366013,0.013163399,0.013960784,0.01475817,0.015555556,0.016529551,0.017503546,0.018477541,0.019451537,0.020425532,0.021428145,0.022430758,0.023433371,0.024435984,0.025438596,0.02645614,0.027473684,0.028491228,0.029508772,0.030526316,0.030526316,0.030526316,0.030526316,0.030526316,0.030526316
0,0.010411765,0.020823529,0.031235294,0.041647059,0.052058824,0.069647059,0.087235294,0.104823529,0.122411765,0.14,0.150808511,0.161617021,0.172425532,0.183234043,0.194042553,0.201023516,0.208004479,0.214985442,0.221966405,0.228947368,0.234035088,0.239122807,0.244210526,0.249298246,0.254385965,0.25845614,0.262526316,0.266596491,0.270666667,0.274736842
0.75,0.721333333,0.692666667,0.664,0.635333333,0.606666667,0.592,0.577333333,0.562666667,0.548,0.533333333,0.530666667,0.528,0.525333333,0.522666667,0.52,0.519333333,0.518666667,0.518,0.517333333,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667
0.25,0.265941176,0.281882353,0.297823529,0.313764706,0.329705882,0.325986928,0.322267974,0.31854902,0.314830065,0.311111111,0.301995272,0.292879433,0.283763593,0.274647754,0.265531915,0.258215006,0.250898096,0.243581187,0.236264278,0.228947368,0.222842105,0.216736842,0.210631579,0.204526316,0.198421053,0.194350877,0.190280702,0.186210526,0.182140351,0.178070175
0,0.010411765,0.020823529,0.031235294,0.041647059,0.052058824,0.069647059,0.087235294,0.104823529,0.122411765,0.14,0.150808511,0.161617021,0.172425532,0.183234043,0.194042553,0.201023516,0.208004479,0.214985442,0.221966405,0.228947368,0.234035088,0.239122807,0.244210526,0.249298246,0.254385965,0.25845614,0.262526316,0.266596491,0.270666667,0.274736842
0,0.002313725,0.004627451,0.006941176,0.009254902,0.011568627,0.012366013,0.013163399,0.013960784,0.01475817,0.015555556,0.016529551,0.017503546,0.018477541,0.019451537,0.020425532,0.021428145,0.022430758,0.023433371,0.024435984,0.025438596,0.02645614,0.027473684,0.028491228,0.029508772,0.030526316,0.030526316,0.030526316,0.030526316,0.030526316,0.030526316
0.75,0.721333333,0.692666667,0.664,0.635333333,0.606666667,0.592,0.577333333,0.562666667,0.548,0.533333333,0.530666667,0.528,0.525333333,0.522666667,0.52,0.519333333,0.518666667,0.518,0.517333333,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667
0.25,0.267098039,0.284196078,0.301294118,0.318392157,0.335490196,0.330614379,0.325738562,0.320862745,0.315986928,0.311111111,0.300973995,0.290836879,0.280699764,0.270562648,0.260425532,0.254129899,0.247834267,0.241538634,0.235243001,0.228947368,0.223859649,0.21877193,0.213684211,0.208596491,0.203508772,0.198421053,0.193333333,0.188245614,0.183157895,0.178070175
0,0.005784314,0.011568627,0.017352941,0.023137255,0.028921569,0.03869281,0.048464052,0.058235294,0.068006536,0.077777778,0.084179669,0.09058156,0.096983452,0.103385343,0.109787234,0.113268384,0.116749533,0.120230683,0.123711833,0.127192982,0.129736842,0.132280702,0.134824561,0.137368421,0.139912281,0.14245614,0.145,0.14754386,0.150087719,0.152631579
0,0.005784314,0.011568627,0.017352941,0.023137255,0.028921569,0.03869281,0.048464052,0.058235294,0.068006536,0.077777778,0.084179669,0.09058156,0.096983452,0.103385343,0.109787234,0.113268384,0.116749533,0.120230683,0.123711833,0.127192982,0.129736842,0.132280702,0.134824561,0.137368421,0.139912281,0.14245614,0.145,0.14754386,0.150087719,0.152631579
0.75,0.721333333,0.692666667,0.664,0.635333333,0.606666667,0.592,0.577333333,0.562666667,0.548,0.533333333,0.530666667,0.528,0.525333333,0.522666667,0.52,0.519333333,0.518666667,0.518,0.517333333,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667,0.516666667
0.25,0.302598039,0.355196078,0.407794118,0.460392157,0.512990196,0.531873638,0.550757081,0.569640523,0.588523965,0.607407407,0.609798266,0.612189125,0.614579984,0.616970843,0.619361702,0.61920866,0.619055618,0.618902576,0.618749533,0.618596491,0.618596491,0.618596491,0.618596491,0.618596491,0.618596491,0.618596491,0.618596491,0.618596491,0.618596491,0.618596491
0,0.002367647,0.004735294,0.007102941,0.009470588,0.011838235,0.017063181,0.022288126,0.027513072,0.032738017,0.037962963,0.0394342,0.040905437,0.042376675,0.043847912,0.045319149,0.046062337,0.046805524,0.047548712,0.0482919,0.049035088,0.049035088,0.049035088,0.049035088,0.049035088,0.049035088,0.049035088,0.049035088,0.049035088,0.049035088,0.049035088
0,0.002367647,0.004735294,0.007102941,0.009470588,0.011838235,0.017063181,0.022288126,0.027513072,0.032738017,0.037962963,0.0394342,0.040905437,0.042376675,0.043847912,0.045319149,0.046062337,0.046805524,0.047548712,0.0482919,0.049035088,0.049035088,0.049035088,0.049035088,0.049035088,0.049035088,0.049035088,0.049035088,0.049035088,0.049035088,0.049035088
0.75,0.692666667,0.635333333,0.578,0.520666667,0.463333333,0.434,0.404666667,0.375333333,0.346,0.316666667,0.311333333,0.306,0.300666667,0.295333333,0.29,0.288666667,0.287333333,0.286,0.284666667,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333
0.25,0.289970588,0.329941176,0.369911765,0.409882353,0.449852941,0.450993464,0.452133987,0.45327451,0.454415033,0.455555556,0.442997636,0.430439716,0.417881797,0.405323877,0.392765957,0.382107503,0.371449048,0.360790594,0.350132139,0.339473684,0.330421053,0.321368421,0.312315789,0.303263158,0.294210526,0.288175439,0.282140351,0.276105263,0.270070175,0.264035088
0,0.003156863,0.006313725,0.009470588,0.012627451,0.015784314,0.017183007,0.018581699,0.019980392,0.021379085,0.022777778,0.024264775,0.025751773,0.027238771,0.028725768,0.030212766,0.031714072,0.033215379,0.034716685,0.036217992,0.037719298,0.03922807,0.040736842,0.042245614,0.043754386,0.045263158,0.045263158,0.045263158,0.045263158,0.045263158,0.045263158
0,0.014205882,0.028411765,0.042617647,0.056823529,0.071029412,0.097823529,0.124617647,0.151411765,0.178205882,0.205,0.221404255,0.237808511,0.254212766,0.270617021,0.287021277,0.297511758,0.30800224,0.318492721,0.328983203,0.339473684,0.347017544,0.354561404,0.362105263,0.369649123,0.377192982,0.38322807,0.389263158,0.395298246,0.401333333,0.407368421
0.75,0.692666667,0.635333333,0.578,0.520666667,0.463333333,0.434,0.404666667,0.375333333,0.346,0.316666667,0.311333333,0.306,0.300666667,0.295333333,0.29,0.288666667,0.287333333,0.286,0.284666667,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333
0.25,0.289970588,0.329941176,0.369911765,0.409882353,0.449852941,0.450993464,0.452133987,0.45327451,0.454415033,0.455555556,0.442997636,0.430439716,0.417881797,0.405323877,0.392765957,0.382107503,0.371449048,0.360790594,0.350132139,0.339473684,0.330421053,0.321368421,0.312315789,0.303263158,0.294210526,0.288175439,0.282140351,0.276105263,0.270070175,0.264035088
0,0.014205882,0.028411765,0.042617647,0.056823529,0.071029412,0.097823529,0.124617647,0.151411765,0.178205882,0.205,0.221404255,0.237808511,0.254212766,0.270617021,0.287021277,0.297511758,0.30800224,0.318492721,0.328983203,0.339473684,0.347017544,0.354561404,0.362105263,0.369649123,0.377192982,0.38322807,0.389263158,0.395298246,0.401333333,0.407368421
0,0.003156863,0.006313725,0.009470588,0.012627451,0.015784314,0.017183007,0.018581699,0.019980392,0.021379085,0.022777778,0.024264775,0.025751773,0.027238771,0.028725768,0.030212766,0.031714072,0.033215379,0.034716685,0.036217992,0.037719298,0.03922807,0.040736842,0.042245614,0.043754386,0.045263158,0.045263158,0.045263158,0.045263158,0.045263158,0.045263158
0.75,0.692666667,0.635333333,0.578,0.520666667,0.463333333,0.434,0.404666667,0.375333333,0.346,0.316666667,0.311333333,0.306,0.300666667,0.295333333,0.29,0.288666667,0.287333333,0.286,0.284666667,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333
0.25,0.29154902,0.333098039,0.374647059,0.416196078,0.457745098,0.45730719,0.456869281,0.456431373,0.455993464,0.455555556,0.441486998,0.42741844,0.413349882,0.399281324,0.385212766,0.37606495,0.366917133,0.357769317,0.348621501,0.339473684,0.331929825,0.324385965,0.316842105,0.309298246,0.301754386,0.294210526,0.286666667,0.279122807,0.271578947,0.264035088
0,0.007892157,0.015784314,0.023676471,0.031568627,0.039460784,0.054346405,0.069232026,0.084117647,0.099003268,0.113888889,0.123589835,0.13329078,0.142991726,0.152692671,0.162393617,0.167634192,0.172874767,0.178115342,0.183355916,0.188596491,0.192368421,0.196140351,0.199912281,0.203684211,0.20745614,0.21122807,0.215,0.21877193,0.22254386,0.226315789
0,0.007892157,0.015784314,0.023676471,0.031568627,0.039460784,0.054346405,0.069232026,0.084117647,0.099003268,0.113888889,0.123589835,0.13329078,0.142991726,0.152692671,0.162393617,0.167634192,0.172874767,0.178115342,0.183355916,0.188596491,0.192368421,0.196140351,0.199912281,0.203684211,0.20745614,0.21122807,0.215,0.21877193,0.22254386,0.226315789
0.75,0.692666667,0.635333333,0.578,0.520666667,0.463333333,0.434,0.404666667,0.375333333,0.346,0.316666667,0.311333333,0.306,0.300666667,0.295333333,0.29,0.288666667,0.287333333,0.286,0.284666667,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333,0.283333333
0.25,0.33,0.41,0.49,0.57,0.65,0.68,0.71,0.74,0.77,0.8,0.804,0.808,0.812,0.816,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
0,0.003,0.006,0.009,0.012,0.015,0.022,0.029,0.036,0.043,0.05,0.052,0.054,0.056,0.058,0.06,0.061,0.062,0.063,0.064,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
0,0.003,0.006,0.009,0.012,0.015,0.022,0.029,0.036,0.043,0.05,0.052,0.054,0.056,0.058,0.06,0.061,0.062,0.063,0.064,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065
0.75,0.664,0.578,0.492,0.406,0.32,0.276,0.232,0.188,0.144,0.1,0.092,0.084,0.076,0.068,0.06,0.058,0.056,0.054,0.052,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.25,0.314,0.378,0.442,0.506,0.57,0.576,0.582,0.588,0.594,0.6,0.584,0.568,0.552,0.536,0.52,0.506,0.492,0.478,0.464,0.45,0.438,0.426,0.414,0.402,0.39,0.382,0.374,0.366,0.358,0.35
0,0.004,0.008,0.012,0.016,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.042,0.044,0.046,0.048,0.05,0.052,0.054,0.056,0.058,0.06,0.06,0.06,0.06,0.06,0.06
0,0.018,0.036,0.054,0.072,0.09,0.126,0.162,0.198,0.234,0.27,0.292,0.314,0.336,0.358,0.38,0.394,0.408,0.422,0.436,0.45,0.46,0.47,0.48,0.49,0.5,0.508,0.516,0.524,0.532,0.54
0.75,0.664,0.578,0.492,0.406,0.32,0.276,0.232,0.188,0.144,0.1,0.092,0.084,0.076,0.068,0.06,0.058,0.056,0.054,0.052,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.25,0.314,0.378,0.442,0.506,0.57,0.576,0.582,0.588,0.594,0.6,0.584,0.568,0.552,0.536,0.52,0.506,0.492,0.478,0.464,0.45,0.438,0.426,0.414,0.402,0.39,0.382,0.374,0.366,0.358,0.35
0,0.018,0.036,0.054,0.072,0.09,0.126,0.162,0.198,0.234,0.27,0.292,0.314,0.336,0.358,0.38,0.394,0.408,0.422,0.436,0.45,0.46,0.47,0.48,0.49,0.5,0.508,0.516,0.524,0.532,0.54
0,0.004,0.008,0.012,0.016,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.042,0.044,0.046,0.048,0.05,0.052,0.054,0.056,0.058,0.06,0.06,0.06,0.06,0.06,0.06
0.75,0.664,0.578,0.492,0.406,0.32,0.276,0.232,0.188,0.144,0.1,0.092,0.084,0.076,0.068,0.06,0.058,0.056,0.054,0.052,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.25,0.316,0.382,0.448,0.514,0.58,0.584,0.588,0.592,0.596,0.6,0.582,0.564,0.546,0.528,0.51,0.498,0.486,0.474,0.462,0.45,0.44,0.43,0.42,0.41,0.4,0.39,0.38,0.37,0.36,0.35
0,0.01,0.02,0.03,0.04,0.05,0.07,0.09,0.11,0.13,0.15,0.163,0.176,0.189,0.202,0.215,0.222,0.229,0.236,0.243,0.25,0.255,0.26,0.265,0.27,0.275,0.28,0.285,0.29,0.295,0.3
0,0.01,0.02,0.03,0.04,0.05,0.07,0.09,0.11,0.13,0.15,0.163,0.176,0.189,0.202,0.215,0.222,0.229,0.236,0.243,0.25,0.255,0.26,0.265,0.27,0.275,0.28,0.285,0.29,0.295,0.3
0.75,0.664,0.578,0.492,0.406,0.32,0.276,0.232,0.188,0.144,0.1,0.092,0.084,0.076,0.068,0.06,0.058,0.056,0.054,0.052,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
